#Hostname #occur Lat[ms]_mean Lat[ms]_med Lat[ms]_min Lat[ms]_max #ObjTOT BytesTOT
fbstatic-a.akamaihd.net 1 0.857 0.857 0.857 0.857 22 348754
ia.media-imdb.com 1 0.858 0.858 0.858 0.858 54 688929
fr.web.img3.acsta.net 1 0.943 0.943 0.943 0.943 15 113682
static.lesoffrescanal.fr 1 0.957 0.957 0.957 0.957 2 179773
www.allocine.fr 1 0.971 0.971 0.971 0.971 21 725397
images.allocine.fr 1 0.973 0.973 0.973 0.973 1 11265
fr.web.img2.acsta.net 1 0.977 0.977 0.977 0.977 12 120632
fr.web.img6.acsta.net 1 0.981 0.981 0.981 0.981 15 237843
fr.web.img4.acsta.net 1 0.985 0.985 0.985 0.985 13 253259
cdn1.smartadserver.com 2 1.000 1.000 0.835 1.166 10 15171
images.apple.com 1 1.003 1.003 1.003 1.003 16 829771
static.bfmtv.com 1 1.031 1.031 1.031 1.031 17 592006
staticbg.ccm2.net 2 1.040 1.040 0.878 1.203 2 2087
www3.smartadserver.com 2 1.042 1.042 0.975 1.108 4 9265
network.aufeminin.com 1 1.145 1.145 1.145 1.145 24 49587
images.marmitoncdn.org 1 1.161 1.161 1.161 1.161 74 1648641
b.scorecardresearch.com 14 1.180 1.214 0.839 1.564 29 38912
p.jwpcdn.com 1 1.183 1.183 1.183 1.183 2 13962
edge.quantserve.com 5 1.188 1.319 0.88 1.44 5 19852
cdn.gigya.com 1 1.198 1.198 1.198 1.198 1 44032
ads.boursorama.com 1 1.204 1.204 1.204 1.204 6 15978
admin.brightcove.com 2 1.208 1.208 1.053 1.363 3 38667
static.ak.facebook.com 13 1.227 1.305 0.829 2.097 18 220763
www.darty.com 1 1.231 1.231 1.231 1.231 49 1898913
a.postrelease.com 1 1.274 1.274 1.274 1.274 1 48007
image.darty.com 1 1.276 1.276 1.276 1.276 31 221101
aufeminin.solution.weborama.fr 1 1.277 1.277 1.277 1.277 1 2248
ww1097.smartadserver.com 1 1.280 1.280 1.28 1.28 1 957
assets.rubiconproject.com 1 1.303 1.303 1.303 1.303 1 46830
u.heatmap.it 1 1.308 1.308 1.308 1.308 2 10845
ww370.smartadserver.com 2 1.318 1.318 1.267 1.369 2 2869
mobile.smartadserver.com 1 1.321 1.321 1.321 1.321 2 1978
fr.web.img5.acsta.net 1 1.330 1.330 1.33 1.33 12 217561
diply.com 1 1.332 1.332 1.332 1.332 18 340968
s.moatads.com 1 1.341 1.341 1.341 1.341 4 11108
ak-ns.sascdn.com 8 1.349 1.386 0.98 1.736 39 101104
